HPO,PDR
Discrete 2 to 5-mm hyper- and hypopigmented macules,177
Lytic defects in metaphyses of the upper limbs,177
Normal density transverse bands in metaphyses of the upper limbs,177
Spurred metaphyses of the upper limbs,177
Sclerosis of metaphyses of the upper limbs,177
Abnormality of upper limb metaphysis,177
Sclerosis with transverse striations in metaphyses of the upper limbs,177
Hypopigmented skin patches on arms,177
"Macular hypopigmented whorls, streaks, and patches",177
Hypopigmented skin patches,177
Palmoplantar cutis gyrata,177
Sclerosis of distal finger phalanx,177
Sclerosis of the distal phalanx of the 4th finger,177
Sclerosis of the distal phalanx of the 3rd finger,177
Sclerosis of the distal phalanx of the 2nd finger,177
Dysplastic distal radial epiphyses,178
Premature fusion of the radial epiphyseal plates,178
Abnormality of the distal radial epiphysis,178
Sclerotic radial epiphyses,178
Medially fused radial epiphyseal plates,178
Hypoplastic distal radial epiphyses,178
Abnormality of radial epiphyses,178
Round radial epiphyses,178
Broad radial epiphyseal plate,178
Distal radial epiphyseal osteolysis,178
Sloping radial epiphyses,178
Medially sloping radial epiphyses,178
Medially deficient radial epiphyses,178
Constricted radial neck,178
Choreoathetosis,178
Progressive choreoathetosis,178
Positive regitine blocking test,178
Hypertension associated with pheochromocytoma,178
Band keratopathy,178
Fused fourth and fifth metacarpals,178
Metacarpophalangeal synostosis,178
Synostosis involving the 5th metacarpal,178
Retinal arteriolar tortuosity,178
Late onset congenital glaucoma,178
Primary congenital glaucoma,178
Congenital glaucoma,178
Cherry red spot of the macula,178
Hemiballismus,178
Microcytic anemia,178
Normochromic microcytic anemia,178
Pituitary thyrotropic cell adenoma,178
Twelfth rib hypoplasia,178
Hypoplasia of first ribs,178
Short ribs,178
Spotty hypopigmentation,178
Lytic defects of carpal bones,178
Carpal osteolysis,178
Patchy sclerosis of distal phalanx of finger,178
Patchy sclerosis of the distal phalanx of the 4th finger,178
Sclerosis of the distal phalanx of the 5th finger,178
Patchy sclerosis of the distal phalanx of the 2nd finger,178
Patchy sclerosis of the distal phalanx of the 3rd finger,178
Blepharophimosis,178
Palpebral fissure narrowing on adduction,178
Small radial epiphyses,179
Irregular radial epiphyses,179
Paroxysmal choreoathetosis,179
External ophthalmoplegia,179
Restrictive external ophthalmoplegia,179
Restrictive partial external ophthalmoplegia,179
Nonprogressive restrictive external ophthalmoplegia,179
Recurrent external ophthalmoplegia,179
Abnormal drinking behavior,179
Hypodipsia,179
Abnormal consumption behavior,179
Lack of spontaneous play,179
Addictive behavior,179
Alcoholism,179
Abnormal temper tantrums,179
Inflexible adherence to routines or rituals,179
Frequent temper tantrums,179
Severe temper tantrums,179
Corneal arcus,179
Corneal scarring,179
Hyperorality,179
Ulnar bowing,179
Perseveration,179
Self-neglect,179
Persistent repetition of actions,179
Persistent repetition of words,179
Lack of insight,179
Diminished ability to concentrate,179
Behavioral abnormality,179
Nummular pigmentation of the fundus,179
Bone spicule pigmentation of the retina,179
Pigmentary retinopathy,179
Humeral exostoses,179
Pituitary gonadotropic cell adenoma,179
Pituitary corticotropic cell adenoma,179
Demyelinating motor neuropathy,179
Osteolysis of scaphoids,179
Patchy sclerosis of the distal phalanx of the 5th finger,179
Unilateral narrow palpebral fissure,179
Large radial epiphyses,180
Abnormal eating behavior,180
Mania,180
Pica,180
Bulimia,180
Oral aversion,180
Sweet craving,180
Misophonia,180
Impairment in personality functioning,180
Anhedonia,180
Low self esteem,180
Hostility,180
Sound sensitivity,180
Negative affectivity,180
Akathisia,180
Restlessness,180
Psychomotor retardation,180
Oppositional defiant disorder,180
Asymmetry of spinal facet joints,180
Biconvex vertebral bodies,180
Trapezoidal shaped vertebral bodies,180
Sandwich appearance of vertebral bodies,180
Facet joint arthrosis,180
Abnormal form of the vertebral bodies,180
Disc-like vertebral bodies,180
Abnormality of spinal facet joint,180
Anterior concavity of thoracic vertebrae,180
Arthrogryposis multiplex congenita,180
Intraretinal hemorrhage,180
Flame-shaped retinal hemorrhage,180
Dot-and-blot retinal hemorrhage,180
Retinal hemorrhage,180
Subretinal hemorrhage,180
Sub-inner limiting membrane hemorrhage,180
Macroprolactinoma,180
Pituitary growth hormone cell adenoma,180
Pituitary prolactin cell adenoma,180
Microprolactinoma,180
Cupped metaphyses of the upper limbs,180
obsolete Malformation of the heart and great vessels,180
10 pairs of ribs,180
Missing ribs,180
Hashimoto thyroiditis,180
Thin eyebrow,180
Poor speech,181
Geophagia,181
Separation insecurity,181
Risk taking,181
Disinhibition,181
Low frustration tolerance,181
Unhappy demeanor,181
Emotional blunting,181
Suicidal ideation,181
Mood swings,181
Euphoria,181
Abnormal emotion/affect behavior,181
Diminished motivation,181
Anterior wedging of T11,181
Vertebral arch anomaly,181
Abnormal vertebral pedicle morphology,181
Anterior wedging of L1,181
Anterior wedging of L2,181
Bifid thoracic vertebrae,181
Beaking of vertebral bodies T12-L3,181
Hyperconvex vertebral body endplates,181
Enlarged vertebral pedicles,181
Abnormality of the vertebral spinous processes,181
Absent spinous processes of lower thoracic and lumbar vertebrae,181
Anterior wedging of T12,181
Butterfly vertebral arch,181
Anterior clefting of vertebral bodies,181
Anterior beaking of thoracic vertebrae,181
Posterior scalloping of vertebral bodies,181
Biconcave vertebral bodies,181
Abnormality of the vertebral endplates,181
Hypoplastic L5 vertebral pedicle,181
Anterior scalloping of vertebral bodies,181
Pear-shaped vertebrae,181
Vertebral wedging,181
Widened interpedicular distance,181
Hypoplastic vertebral pedicle,181
Patchy distortion of vertebrae,181
Vertebral clefting,181
Irregularity of vertebral bodies,181
Cleft vertebral arch,181
Beaking of vertebral bodies,181
Granular macular appearance,181
Subretinal pigment epithelium hemorrhage,181
Facial midline hemangioma,181
Facial hemangioma,181
Plaque-like facial hemangioma,181
Ungual fibroma,181
Fulminant hepatitis,181
Sensorimotor neuropathy,181
Weight loss,181
Urethrocele,181
Upper limb metaphyseal widening,181
Renal hypoplasia,181
Telecanthus,181
Abnormality of tensor veli palatini muscle,181
Abnormality of uvular muscle,181
Abnormality of musculature of soft palate,181
Abnormality of levator veli palatini muscle,181
Flattened proximal radial epiphyses,182
Flattened radial epiphyses,182
Medially flattened radial epiphyses,182
Oculomotor apraxia,182
Salt craving,182
Histrionic personality disorder,182
Borderline personality disorder,182
Claustrophobia,182
Abnormal fear/anxiety-related behavior,182
Personality disorder,182
Agoraphobia,182
Palmar telangiectasia,182
Palmoplantar cutis laxa,182
Abulia,182
Mood changes,182
Akinetic mutism,182
Symphalangism of the thumb,182
Hip dysplasia,182
Lower thoracic interpediculate narrowness,182
Posterior wedging of vertebral bodies,182
Narrow vertebral interpedicular distance,182
Tall lumbar vertebral bodies,182
Anterior beaking of lower thoracic vertebrae,182
Thoracolumbar interpediculate narrowness,182
Lumbar interpedicular narrowing,182
Caudal interpedicular narrowing,182
Increased anterior vertebral height,182
Increased vertebral height,182
Spatulate thumbs,182
Broad thumb,182
Palpitations,182
Pulmonary lymphangiomyomatosis,182
Interosseus muscle atrophy,182
Distal amyotrophy,182
Ovarian fibroma,182
Restricted chest movement,182
Bilateral renal hypoplasia,182
Unilateral renal hypoplasia,182
Growth delay,182
Hydronephrosis,182
Happy demeanor,183
"Abnormal aggressive, impulsive or violent behavior",183
Sclerotic vertebral endplates,183
Tongue-like lumbar vertebral deformities,183
Cuboid-shaped vertebral bodies,183
Exostoses of the ulna,183
Anterior beaking of lumbar vertebrae,183
Broad proximal phalanx of the thumb,183
Arthralgia,183
Hypochromic microcytic anemia,183
Congenital hemolytic anemia,183
Cold-induced hemolysis,183
Increased red cell hemolysis by shear stress,183
Macrocytic hemolytic disease,183
Exercise-induced hemolysis,183
Compensated hemolytic anemia,183
Fava bean-induced hemolytic anemia,183
Nonspherocytic hemolytic anemia,183
Hemolytic anemia,183
Spontaneous hemolytic crises,183
Drug-sensitive hemolytic anemia,183
Heinz body anemia,183
First dorsal interossei muscle atrophy,183
Choroid plexus papilloma,183
Neoplasm of the pharynx,183
Neoplasia of the nasopharynx,183
Peripheral axonal neuropathy,183
Upper-limb metaphyseal irregularity,183
Patchy reduction of bone mineral density,183
Absent pubertal growth spurt,183
Sparse medial eyebrow,183
Sparse eyebrow,183
Progressive external ophthalmoplegia,184
Choking episodes,184
Phonophobia,184
Conspicuously happy disposition,184
Personality changes,184
Violent behavior,184
Triangular face,184
Irregular vertebral endplates,184
Anisospondyly,184
Cuboid-shaped thoracolumbar vertebral bodies,184
Coronal cleft vertebrae,184
Hump-shaped mound of bone in central and posterior portions of vertebral endplate,184
Neck hypertonia,184
Hypertonia,184
Buphthalmos,184
Supraventricular tachycardia,184
Supraventricular tachycardia with a manifest accessory pathway on the left free wall,184
Supraventricular tachycardia with a manifest accessory pathway on the right free wall,184
Junctional ectopic tachycardia,184
Orthodromic atrioventricular reentrant tachycardia,184
AV nodal tachycardia,184
Supraventricular tachycardia with a concealed accessory connection,184
Supraventricular tachycardia with an accessory connection mediated pathway,184
Supraventricular tachycardia with a concealed accessory pathway on the left free wall,184
Supraventricular tachycardia with a concealed accessory pathway on the septum,184
Paroxysmal supraventricular tachycardia,184
Antidromic atrioventricular reentrant tachycardia,184
Supraventricular tachycardia with a manifest accessory pathway on the septum,184
Permanent junctional reciprocating tachycardia,184
Atrioventricular reentrant tachycardia,184
Supraventricular tachycardia with a manifest accessory pathway,184
Supraventricular tachycardia with a concealed accessory pathway on the right free wall,184
Dystrophic fingernails,184
Coombs-positive hemolytic anemia,184
Chronic hemolytic anemia,184
Microangiopathic hemolytic anemia,184
Progressive distal muscular atrophy,184
Dissociated sensory loss,184
Sensory impairment,184
Medially sloping radial metaphysis,184
Abnormality of radial metaphyses,184
Sclerotic radial metaphysis with longitudinal striations,184
Lytic defects of radial metaphysis,184
Spurred radial metaphysis,184
Sloping radial metaphysis,184
Abnormal rib ossification,184
Osteosclerosis of ribs,184
Irregular ossification at anterior rib ends,184
Absent in utero rib ossification,184
Autoimmune neutropenia,184
Abnormality of the proximal humeral epiphysis,185
Abnormality of the humeral epiphysis,185
Abnormality of the humeral epiphyseal plate,185
Broad humeral epiphyseal plate,185
Round humeral epiphyses,185
Stippled calcification proximal humeral epiphyses,185
Stippled calcification of the humeral epiphyses,185
Inappropriate sexual behavior,185
Inappropriate behavior,185
Delusions,185
Socially inappropriate behavior,185
Short attention span,185
Butterfly vertebrae,185
Irregular sclerotic endplates,185
Shoulder flexion contracture,185
Retinal arteriolar occlusion,185
Paroxysmal atrial tachycardia,185
Brachycephaly,185
Episodic hemolytic anemia,185
Peroneal muscle atrophy,185
Upper limb amyotrophy,185
Chronic axonal neuropathy,185
Cystocele,185
Flared upper limb metaphysis,185
11 pairs of ribs,185
Cleft upper lip,185
Incomplete cleft of the upper lip,185
Absent knee epiphyses,186
Small humeral epiphyses,186
Irregular humeral epiphyses,186
Abnormal social behavior,186
Impaired social reciprocity,186
Hyperacusis,186
Paranoia,186
Inappropriate laughter,186
Inappropriate crying,186
Hypersexuality,186
Inertia,186
Hypophosphatemic rickets,186
Scleral schwannoma,186
Acrobrachycephaly,186
Ischemic stroke,186
Aplasia/Hypoplasia of the 1st metacarpal,186
Neoplasm of the nose,186
Abnormality of pain sensation,186
Trophic limb changes,186
Hyperalgesia,186
Trophic changes related to pain,186
Impaired tactile sensation,186
Osteolytic defect of thumb phalanx,186
Progressive alopecia,186
Alopecia,186
Long lower eyelashes,186
Long eyelashes,186
Long upper eyelashes,186
Submucous cleft lip,186
Abnormality of femoral epiphysis,187
Small distal femoral epiphysis,187
Abnormality of the distal femoral epiphysis,187
Broad humeral epiphyses,187
Large humeral epiphyses,187
Respiratory insufficiency due to defective ciliary clearance,187
Respiratory insufficiency,187
Pseudobulbar behavioral symptoms,187
Anterior rounding of vertebral bodies,187
Ovoid vertebral bodies,187
Submacular hemorrhage,187
Macular hemorrhage,187
Foveal hemorrhage,187
Lipoma of the tongue,187
Distal sensory impairment of all modalities,187
Osteolytic defect of the proximal phalanx of the thumb,187
Thumbs hypoplastic with bulbous tips,187
Short thumb,187
Sensory neuropathy,187
Cupped radial metaphyses,187
Patchy alopecia,187
Renal agenesis,187
"Atrophic, patchy alopecia",187
Osseous syndactyly of toes,187
1-3 toe syndactyly,187
1-5 toe syndactyly,187
1-2 toe syndactyly,187
1-4 toe syndactyly,187
Toe syndactyly,187
2-5 toe syndactyly,187
3-5 toe syndactyly,187
4-5 toe syndactyly,187
Long eyelashes in irregular rows,187
Irregular distal femoral epiphysis,188
Irregular femoral epiphysis,188
Respiratory failure requiring assisted ventilation,188
Ventilator dependence with inability to wean,188
Bipolar affective disorder,188
Overfriendliness,188
Paroxysmal bursts of laughter,188
Oral cavity telangiectasia,188
Narrow face,188
Ovoid thoracolumbar vertebrae,188
Carotid paraganglioma,188
Epidural hemorrhage,188
Intracranial hemorrhage,188
Subdural hemorrhage,188
Hematuria,188
Spontaneous pain sensation,188
Sensory ataxic neuropathy,188
Anterior rib punctate calcifications,188
3-4 toe syndactyly,188
2-4 toe syndactyly,188
Short philtrum,188
Flattened knee epiphyses,189
Abnormality of tibial epiphyses,189
Abnormality of the proximal tibial epiphysis,189
Abnormality of the distal tibial epiphysis,189
Wide capital femoral epiphyses,189
Abnormality of the epiphysis of the femoral head,189
Proximal femoral epiphysiolysis,189
Aplasia/Hypoplasia of the capital femoral epiphysis,189
Flattened humeral epiphyses,189
Respiratory arrest,189
Shyness,189
Panic attack,189
Impulsivity,189
Telangiectasia of the oral mucosa,189
Decreased anterioposterior diameter of lumbar vertebral bodies,189
Hypoplastic vertebral bodies,189
Narrow anterio-posterior vertebral body diameter,189
Proptosis,189
Preterm intraventricular hemorrhage,189
Grade II preterm intraventricular hemorrhage,189
Grade IV preterm intraventricular hemorrhage,189
Grade I preterm intraventricular hemorrhage,189
Grade III preterm intraventricular hemorrhage,189
Intraventricular hemorrhage,189
Macroscopic hematuria,189
Myoclonus,189
Spinal myoclonus,189
Eyelid myoclonus,189
Sleep myoclonus,189
Polyminimyoclonus,189
Palatal myoclonus,189
Epignathus,189
Distal sensory loss of all modalities,189
Distal peripheral sensory neuropathy,189
Alopecia universalis,189
Bilateral renal agenesis,189
Alopecia totalis,189
Small proximal tibial epiphyses,190
Abnormality of the epiphyses of the hand,190
Rounded epiphyses,190
Hypoplasia of the capital femoral epiphysis,190
Enlargement of the proximal femoral epiphysis,190
Pseudoepiphyses of hand bones,190
Irregular capital femoral epiphysis,190
Plantar telangiectasia,190
Small cervical vertebral bodies,190
Fractured ulna,190
Cerebellar hemorrhage,190
Erratic myoclonus,190
Cortical myoclonus,190
Chin myoclonus,190
Limb myoclonus,190
Proximal upper limb amyotrophy,190
Hyperesthesia,190
Short phalanx of the thumb,190
Radial metaphyseal irregularity,190
Precocious costochondral ossification,190
Cerebellar hypoplasia,190
Cerebellar hemisphere hypoplasia,190
2-4 toe cutaneous syndactyly,190
Cutaneous syndactyly of toes,190
1-2 toe complete cutaneous syndactyly,190
Flat distal femoral epiphysis,191
Enlargement of the distal femoral epiphysis,191
Hemimacroglossia,191
Triangular tongue,191
Macroglossia,191
Broad distal phalanx of the thumb,191
Ankle contracture,191
Central fundal arteriolar microaneurysms,191
Transient ischemic attack,191
Morning myoclonic jerks,191
Proximal lower limb amyotrophy,191
Shortening of all metacarpals,191
Short metacarpals with rounded proximal ends,191
Short 3rd metacarpal,191
Short metacarpal,191
Cuboidal metacarpal,191
Impaired temperature sensation,191
Sclerosis of the proximal phalanx of the thumb,191
Sclerosis of thumb phalanx,191
Abnormality of the femoral metaphysis,191
Distal femoral metaphyseal abnormality,191
Wide distal femoral metaphysis,191
Broad femoral metaphyses,191
Proximal femoral metaphyseal abnormality,191
Congenital alopecia totalis,191
2-3 toe cutaneous syndactyly,191
Arachnodactyly,191
Bifid uvula,191
Delayed upper limb epiphyseal ossification,192
Pituitary calcification,192
Aphasia,192
Mosaic central corneal dystrophy,192
Apathy,192
Agitation,192
Bethlem sign,192
Joint contracture of the hand,192
Limb hypertonia,192
Subarachnoid hemorrhage,192
Patchy sclerosis of thumb phalanx,192
Lytic defects of the humeral metaphysis,192
Laterally sloping humeral metaphysis,192
Normal-density transverse humeral bands,192
Square humeral metaphysis,192
Sloping humeral metaphysis,192
Enlarged humeral metaphyses,192
Pointed humeral metaphysis,192
Mixed sclerosis of humeral metaphyses,192
Sclerotic humeral metaphysis,192
Spurred humeral metaphysis,192
Sclerotic humeral metaphysis with longitudinal striations,192
Abnormality of the humeral metaphyses,192
Frayed humeral metaphyses,192
Wide proximal femoral metaphysis,192
Stippled calcification of humeral metaphysis,192
Alopecia of scalp,192
Talipes equinovarus,192
Flat capital femoral epiphysis,193
Motor aphasia,193
Impaired oral bolus formation,193
Osteopenia,193
Dysphagia,193
Distal tibial bowing,193
Inguinal hernia,193
Dupuytren contracture,193
Macular edema,193
Microscopic hematuria,193
Monoclonal immunoglobulin M proteinemia,193
Short 2nd metacarpal,193
Motor axonal neuropathy,193
Patchy sclerosis of the proximal phalanx of the thumb,193
Flared radial metaphysis,193
Cortical subperiosteal resorption of humeral metaphyses,193
Albinism,193
Talipes cavus equinovarus,193
Highly arched eyebrow,193
Bilateral elbow dislocations,194
Elbow dislocation,194
Abnormality of the distal ulnar epiphysis,194
Long styloid process of ulna,194
Bony spikule of ulnar epiphyseal plate,194
Absent styloid process of ulna,194
Prominent styloid process of ulna,194
Abnormality of the ulnar epiphyses,194
Abnormality of the styloid process of ulna,194
Irregular proximal tibial epiphyses,194
Cystoid macular edema,194
Intestinal bleeding,194
Facial capillary hemangioma,194
Midfrontal capillary hemangioma,194
Quadriceps muscle atrophy,194
Gingival fibromatosis,194
Distal sensory impairment,194
Impaired vibratory sensation,194
Preaxial hand polydactyly,194
Enlarged sylvian cistern,194
Progressive ventriculomegaly,194
Ventriculomegaly,194
Enlarged fossa interpeduncularis,194
Radial head subluxation,195
Posterior subluxation of radial head,195
Impaired oropharyngeal swallow response,195
Contracture of the distal interphalangeal joint of the fingers,195
Interphalangeal joint contracture of finger,195
Flexion contracture of finger,195
Small intestinal bleeding,195
Midface capillary hemangioma,195
Tongue edema,195
Myoclonic spasms,195
Rectus femoris muscle atrophy,195
Abolished vibration sense,195
Osteolytic defect of the distal phalanx of the thumb,195
Rectocele,195
Dumbbell-shaped femur,195
Peg-like central prominence of distal tibial metaphyses,195
Abnormality of the tibial metaphysis,195
Costal cartilage calcification,195
Enlarged interhemispheric fissure,195
Limitation of knee mobility,195
Limitation of movement at ankles,195
Bilateral postaxial polydactyly,195
Postaxial hand polydactyly,195
Rudimentary postaxial polydactyly of hands,195
Migraine without aura,195
Migraine with aura,195
Migraine,195
Sparse lateral eyebrow,195
Neuromuscular dysphagia,196
Sudden cardiac death,196
Schizophrenia,196
Genu varum,196
Thick eyebrow,196
Midline facial capillary hemangioma,196
Hemifacial spasm,196
Kaposi's sarcoma,196
Adenoma sebaceum,196
Sclerosis of the distal phalanx of the thumb,196
Abnormalities of the metaphyses of the hand,196
Cupped metaphyses of hand bones,196
Broad tibial metaphyses,196
Enlarged cisterna magna,196
Dilated third ventricle,196
Limited hip extension,196
Limited hip movement,196
Narrow mouth,196
Bilateral talipes equinovarus,196
Postaxial polydactyly type A,196
Upslanted palpebral fissure,196
Dysphasia,197
Polyphagia,197
Lip telangiectasia,197
Impaired proprioception,197
Impaired distal tactile sensation,197
Impaired distal vibration sensation,197
Broad radial metaphysis,197
Costochondral pain,197
Dilation of lateral ventricles,197
Decreased hip abduction,197
Abnormality of palatoglossus muscle,197
Cone-shaped distal radial epiphysis,198
Scapuloperoneal weakness,198
Palmoplantar hyperhidrosis,198
Neonatal respiratory distress,198
Muscle weakness,198
Obsessive-compulsive behavior,198
Carpometacarpal synostosis,198
Synostosis of second metacarpal-trapezoid,198
Round face,198
Asymmetric septal hypertrophy,198
Concentric hypertrophic cardiomyopathy,198
Hypertrophic cardiomyopathy,198
Apical hypertrophic cardiomyopathy,198
Abdominal pain,198
Positive Romberg sign,198
Patchy sclerosis of the distal phalanx of the thumb,198
Humeral metaphyseal irregularity,198
Proximal humeral metaphyseal irregularity,198
Proximal femoral metaphyseal irregularity,198
Limited shoulder movement,198
Dilated fourth ventricle,198
2-3 toe syndactyly,198
Bone-in-a-bone appearance of carpal bones,198
Median cleft lip,198
Abnormality of the epiphysis of the middle phalanx of the 4th toe,199
Abnormality of the epiphysis of the distal phalanx of the 2nd toe,199
Abnormality of the epiphysis of the middle phalanx of the 2nd toe,199
Abnormality of the epiphyses of the 2nd toe,199
Abnormality of the epiphysis of the proximal phalanx of the 2nd toe,199
Abnormality of the epiphysis of the proximal phalanx of the 4th toe,199
Abnormality of the epiphysis of the distal phalanx of the 4th toe,199
Abnormality of metatarsal epiphysis,199
Abnormality of the epiphyses of the toes,199
Absent epiphyses of the 2nd toe,199
Ivory epiphyses of the toes,199
Absent epiphyses of the toes,199
Ivory epiphysis of the middle phalanx of the 2nd toe,199
Ivory epiphysis of the distal phalanx of the 2nd toe,199
Absent epiphysis of the proximal phalanx of the 2nd toe,199
Absent epiphysis of the proximal phalanx of the 4th toe,199
Absent epiphysis of the middle phalanx of the 2nd toe,199
Absent epiphyses of the 4th toe,199
Absent epiphysis of the distal phalanx of the 4th toe,199
Absent epiphysis of the distal phalanx of the 2nd toe,199
Absent epiphysis of the middle phalanx of the 4th toe,199
Abnormality of the epiphyses of the 4th toe,199
Ivory epiphysis of the proximal phalanx of the 2nd toe,199
Ivory epiphyses of the 2nd toe,199
Absent epiphysis of the distal phalanx of the 3rd toe,199
Abnormality of the epiphysis of the distal phalanx of the 3rd toe,199
Absent epiphyses of the 3rd toe,199
Absent epiphysis of the proximal phalanx of the 3rd toe,199
Abnormality of the epiphysis of the proximal phalanx of the 3rd toe,199
Abnormality of the epiphyses of the 3rd toe,199
Ivory epiphysis of the distal phalanx of the 4th toe,199
Ivory epiphyses of the 4th toe,199
Ivory epiphysis of the middle phalanx of the 4th toe,199
Ivory epiphysis of the proximal phalanx of the 4th toe,199
Pseudoepiphysis of the distal phalanx of the 2nd toe,199
Pseudoepiphyses of the 2nd toe,199
Pseudoepiphyses of the 4th toe,199
Pseudoepiphysis of the middle phalanx of the 2nd toe,199
Pseudoepiphysis of the middle phalanx of the 4th toe,199
Pseudoepiphysis of the distal phalanx of the 4th toe,199
Pseudoepiphysis of the proximal phalanx of the 4th toe,199
Pseudoepiphysis of the proximal phalanx of the 2nd toe,199
Pseudoepiphyses of the toes,199
Pseudoepiphysis of the distal phalanx of the 3rd toe,199
Fragmentation of the epiphysis of the middle phalanx of the 2nd toe,199
Fragmentation of the epiphysis of the proximal phalanx of the 2nd toe,199
Absent epiphysis of the middle phalanx of the 3rd toe,199
Ivory epiphysis of the distal phalanx of the 3rd toe,199
Pseudoepiphyses of the 3rd toe,199
Ivory epiphysis of the middle phalanx of the 3rd toe,199
Fragmentation of the epiphysis of the distal phalanx of the 3rd toe,199
Fragmentation of the epiphysis of the middle phalanx of the 3rd toe,199
Fragmentation of the epiphyses of the 2nd toe,199
Abnormality of the epiphysis of the middle phalanx of the 3rd toe,199
Ivory epiphyses of the 3rd toe,199
Fragmentation of the epiphyses of the 4th toe,199
Fragmentation of the epiphysis of the distal phalanx of the 2nd toe,199
Fragmentation of the epiphyses of the 3rd toe,199
Fragmentation of the epiphysis of the proximal phalanx of the 3rd toe,199
Fragmentation of the epiphyses of the toes,199
Pseudoepiphysis of the middle phalanx of the 3rd toe,199
Fragmentation of the epiphysis of the middle phalanx of the 4th toe,199
Ivory epiphysis of the proximal phalanx of the 3rd toe,199
Fragmentation of the epiphysis of the distal phalanx of the 4th toe,199
Pseudoepiphysis of the proximal phalanx of the 3rd toe,199
Fragmentation of the epiphysis of the proximal phalanx of the 4th toe,199
Bracket epiphyses of the 4th toe,199
Bracket epiphysis of the proximal phalanx of the 4th toe,199
Bracket epiphysis of the proximal phalanx of the 2nd toe,199
Bracket epiphyses of the 3rd toe,199
Bracket epiphysis of the middle phalanx of the 3rd toe,199
Bracket epiphysis of the proximal phalanx of the 3rd toe,199
Bracket epiphyses of the toes,199
Bracket epiphysis of the distal phalanx of the 2nd toe,199
Bracket epiphyses of the 2nd toe,199
Bracket epiphysis of the distal phalanx of the 3rd toe,199
Bracket epiphysis of the distal phalanx of the 4th toe,199
Bracket epiphysis of the middle phalanx of the 4th toe,199
Bracket epiphysis of the middle phalanx of the 2nd toe,199
Triangular epiphysis of the distal phalanx of the 3rd toe,199
Triangular epiphysis of the distal phalanx of the 2nd toe,199
Triangular epiphyses of the 3rd toe,199
Triangular epiphysis of the proximal phalanx of the 3rd toe,199
Triangular epiphyses of the toes,199
Triangular epiphysis of the middle phalanx of the 3rd toe,199
Triangular epiphysis of the middle phalanx of the 4th toe,199
Triangular epiphyses of the 4th toe,199
Low-set ears,199
Triangular epiphysis of the proximal phalanx of the 4th toe,199
Triangular epiphysis of the proximal phalanx of the 2nd toe,199
Triangular epiphysis of the middle phalanx of the 2nd toe,199
Triangular epiphyses of the 2nd toe,199
Triangular epiphysis of the distal phalanx of the 4th toe,199
Cold paresis,199
Emotional lability,199
Collectionism,199
Obsessive-compulsive trait,199
Tongue telangiectasia,199
Knee flexion contracture,199
Antenatal intracerebral hemorrhage,199
Cerebral hemorrhage,199
Sensory ataxia,199
Flared femoral metaphysis,199
Unilateral renal agenesis,199
Stippled calcification in carpal bones,199
Sclerotic foci within carpal bones,199
Shortening of all distal phalanges of the fingers,199
Short distal phalanx of the 4th finger,199
Short distal phalanx of the 3rd finger,199
Short distal phalanx of finger,199
Absent eyelashes,199
Absent upper eyelashes,199
Knee osteoarthritis,200
Small epiphysis of the middle phalanx of the 2nd toe,200
Small epiphysis of the distal phalanx of the 2nd toe,200
Small epiphyses of the toes,200
Small epiphysis of the proximal phalanx of the 2nd toe,200
Small epiphyses of the 2nd toe,200
Small epiphysis of the distal phalanx of the 4th toe,200
Small epiphysis of the middle phalanx of the 4th toe,200
Small epiphyses of the 4th toe,200
Small epiphysis of the proximal phalanx of the 4th toe,200
Abnormality of the epiphyses of the hallux,200
Triangular epiphysis of the 1st metatarsal,200
Pseudoepiphysis of the 1st metatarsal,200
Bracket epiphysis of the 1st metatarsal,200
Absent epiphysis of the 1st metatarsal,200
Small epiphysis of the 1st metatarsal,200
Abnormality of the epiphysis of the distal phalanx of the hallux,200
Abnormality of the epiphysis of the 1st metatarsal,200
Stippling of the epiphysis of the 1st metatarsal,200
Abnormality of the epiphysis of the proximal phalanx of the hallux,200
Ivory epiphyses of the hallux,200
Absent epiphysis of the proximal phalanx of the hallux,200
Absent epiphysis of the distal phalanx of the hallux,200
Absent hallux epiphysis,200
Small epiphysis of the proximal phalanx of the 3rd toe,200
Small epiphysis of the distal phalanx of the 3rd toe,200
Small epiphyses of the 3rd toe,200
Ivory epiphysis of the distal phalanx of the hallux,200
Ivory epiphysis of the proximal phalanx of the hallux,200
Ivory epiphysis of the 1st metatarsal,200
Pseudoepiphysis of the distal phalanx of the hallux,200
Pseudoepiphysis of the proximal phalanx of the hallux,200
Pseudoepiphyses of the hallux,200
Irregular epiphysis of the distal phalanx of the 2nd toe,200
Irregular epiphysis of the proximal phalanx of the 4th toe,200
Irregular epiphysis of the proximal phalanx of the 2nd toe,200
Irregular epiphysis of the middle phalanx of the 4th toe,200
Irregular epiphysis of the distal phalanx of the 4th toe,200
Irregular epiphyses of the 2nd toe,200
Irregular epiphyses of the 4th toe,200
Irregular epiphysis of the middle phalanx of the 2nd toe,200
Irregular epiphyses of the toes,200
Abnormality of the epiphysis of the proximal phalanx of the 5th toe,200
Abnormality of the epiphysis of the middle phalanx of the 5th toe,200
Enlarged epiphysis of the distal phalanx of the 4th toe,200
Enlarged epiphyses of the 4th toe,200
Enlarged epiphysis of the proximal phalanx of the 4th toe,200
Enlarged epiphysis of the middle phalanx of the 4th toe,200
